Year,bt_anomaly_SNE_Spring,sst_anomaly_SNE_Spring,Heatwave_SNE_Spring,GSI_SNE_Spring,calfin_100m3_SNE_Spring,pseudo_100m3_SNE_Spring,Age.1_SNE_Spring,SSB_SNE_Spring,RSSB_SNE_Spring,lAGE1_SNE_Spring,Cod_Depth_Spring,Cod_Lat_Spring,K_rel_SNE_Spring
1974,,,,,,,,,,,-81.07909,41.64908356,
1975,,,,,,,,,,,-82.191095,41.70223556,
1976,,,,,,,,,,,-83.3031,41.75538757,
1977,,,,,,,,,,,-88.93763,41.86823879,
1978,,,,,,,,,,,-92.07885,41.88134632,
1979,,,,,,,,,,,-94.730606,41.91023621,
1980,,,,,,,,,,,-95.84242,41.93920347,
1981,,,,,,,,,,,-95.23343,41.99021981,
1982,-1.081224683,NA,NA,-0.453626334,-4.082543513,-4.096949249,0,0,NA,0,-91.974686,41.99808215,NA
1983,0.294428643,-0.666504999,NA,-0.756451412,-3.833051696,-4.160384025,0,0,NA,0,-91.14883,42.00880964,NA
1984,0.318106767,1.050456772,19.9262,-0.113121853,-4.034643015,-4.676272467,0.0332,0.163806594,0,0.032660782,-89.2002,41.97182231,NA
1985,-0.46951107,0.334053162,70.642,0.098878092,-3.471672989,-4.205906143,0.1025,0.686300416,0.625737936,0.097580328,-89.69017,41.91890682,NA
1986,1.052290778,0.657992746,NA,0.699828581,-4.180228909,-4.511376662,0.0721,0.151741049,0.105056034,0.069619342,-88.31487,41.85577409,NA
1987,0.833232654,0.427969718,NA,0.401581262,-3.624520005,-4.714061338,0,0,0,0,-88.55023,41.83745091,NA
1988,-0.121868718,0.035569177,48.3638,-0.760979811,-3.240198111,-4.365031748,0.0284,0,0,0.028004196,-87.71586,41.80750901,NA
1989,-0.546419115,-0.483896745,16.8457,-0.823977252,NA,NA,0.0541,0.762518192,0,0.052687322,-88.192444,41.81485095,NA
1990,-0.313462195,0.114503931,9.3029,-0.963412951,-4.286783379,-4.134195172,0,0.190049189,0,0,-93.200584,41.85532678,NA
1991,0.206117677,-0.067504304,37.9372,-0.101144514,NA,NA,0,0.047771403,0,0,-102.38617,41.94412983,NA
1992,0.531189038,0.51711389,NA,1.176253239,-3.458895316,-3.407242782,0,0.126899722,0,0,-116.833885,42.06216118,0.957073982
1993,-0.267125853,-0.377591127,48.9943,0.552302322,-4.267843718,-4.147734128,0.0213,0.027207647,0.167849067,0.021076326,-123.82059,42.14964501,1.018284363
1994,-0.583157998,-0.701956974,33.2538,0.471770839,-3.330303499,-4.196913755,0,0,0,0,-127.626236,42.23637554,1.106378348
1995,0.417633057,-1.194537544,31.4988,0.648124386,-3.447673156,-3.834788347,0,NA,NA,0,-120.099945,42.24562954,1.101343125
1996,0.343055367,0.684283327,NA,1.469797914,-4.27604528,-4.339088681,0,NA,NA,0,-115.16951,42.22097717,1.096877405
1997,-1.250287523,-1.05691815,NA,-0.180893832,-3.707628016,-3.841888817,0,NA,NA,0,-110.83524,42.15671064,NA
1998,-0.219058527,0.084937079,NA,-0.353787919,-5.087489326,-3.737490267,0,0,NA,0,-106.643166,42.13183414,0.995671061
1999,-0.908705604,-0.002996273,31.2815,-0.841951125,-2.973980948,-3.801905089,0,0,NA,0,-102.12453,42.13476365,1.044736551
2000,1.388234624,0.253350821,56.1895,1.539377201,-3.913589404,-3.855473998,0,NA,NA,0,-100.173584,42.16007586,1.055460455
2001,-0.322067625,0.939831526,29.7109,0.690910613,-3.716235121,-4.071045424,0,NA,NA,0,-101.365944,42.26246091,0.997037017
2002,1.194609424,-0.958603223,65.9948,-0.036352418,-4.062867546,-3.695892726,0,0,NA,0,-103.86727,42.30963417,1.017010995
2003,0.290187237,1.496437923,148.8837,1.385283563,-4.283430347,-4.422211444,0,0,NA,0,-103.191284,42.26709185,0.881944453
2004,-0.33916883,-0.445420801,NA,0.216219845,-3.171826768,-4.134491033,1.3326,NA,0,0.846983525,-100.93433,42.21041451,1.000757495
2005,-1.022289267,-1.069433772,8.6335,-0.146852535,-2.890419497,-4.230266931,0.0185,0,NA,0.018330957,-101.11015,42.17980771,1.119603026
2006,0.230395057,-0.646828203,68.6454,-0.229621332,-2.903153444,-4.236575902,0,NA,NA,0,-102.63836,42.14851322,NA
2007,1.106475797,0.607280638,141.8899,0.377368505,-3.493811809,-4.642827717,0,0,NA,0,-99.03012,42.18601025,NA
2008,-1.187351893,1.047002504,36.2733,-0.929670257,-3.540320022,-4.904874857,0,0,NA,0,-95.59634,42.20234521,0.974432075
2009,0.053545082,0.316559525,20.2532,0.533397839,-3.714732028,-3.813010318,0.0058,NA,0,0.005783245,-96.635925,42.21296426,0.933512093
2010,0.694506644,-0.114949255,67.3754,0.358591457,-3.14846393,-4.615589334,0.0129,NA,NA,0.012817504,-99.51474,42.20316094,0.974822148
2011,-0.322308944,-0.41811257,194.9488,0.603235352,-3.15791162,-4.583817339,0,0.025827776,NA,0,-103.32352,42.2102984,1.019179592
2012,0.866247135,-0.362088799,594.867,-0.226351831,-3.731092999,-3.717056322,0,0,0,0,-103.63295,42.24075172,NA
2013,0.799692099,2.538136661,252.9587,0.800419348,-3.745551209,-6.02248486,0,NA,NA,0,-108.24745,42.27872394,0.939560824
2014,0.993742094,1.218278465,153.5741,0.797656011,-3.649680598,-4.479856639,0,NA,NA,0,-108.0369025,42.30072365,0.99514586
2015,1.745166072,-0.003166179,176.4652,1.169831439,-4.058905031,-4.556003847,0.0053,NA,NA,0.005286004,-107.826355,42.32272336,0.969389744
2016,2.396777482,-0.133517901,455.7264,1.323979094,-4.638848346,-4.330566824,0,NA,NA,0,-104.07502,42.30840474,1.045326997
2017,1.506281645,1.834150297,287.261,1.623870131,-4.458057985,-4.709788916,0,0.037947361,NA,0,-100.78052,42.25354482,0.929377481
2018,0.816352266,1.243108019,200.6229,1.043406613,-4.002455355,-4.453129684,0,NA,0,0,-97.68573,42.19976989,1.053337291
2019,0.229734615,-0.122518087,169.5203,1.401638769,-3.364517161,-4.343057871,0,0.036260912,NA,0,-92.03056,42.08393246,0.967577717
2020,1.928817009,0.045426418,166.5375,1.753956701,NA,NA,NA,NA,NA,NA,-85.64807,42.0729538,NA
2021,,,,,,,,,,,-79.26558,42.06197513,
2022,,,,,,,,,,,-80.5869,42.12268291,0.955422437
2023,,,,,,,,,,,,,
